country_no,country_ko_name,country_en_name
1,캐나다,Canada
2,중국,China
3,프랑스,France
4,독일,Germany
5,이탈리아,Italy
6,일본,Japan
7,스페인,Spain
8,대만,Taiwan
9,미국,USA
10,베트남,Vietnam
11,대한민국,"Republic of Korea"
