437,106,466,106,466,139,437,139
470,104,559,104,559,139,470,139
565,104,653,104,653,139,565,139
662,101,741,106,739,141,659,136
744,106,813,106,813,139,744,139
133,127,372,127,372,259,133,259
421,151,803,151,803,257,421,257
61,328,196,328,196,358,61,358
354,364,462,364,462,401,354,401
689,378,718,378,718,405,689,405
795,378,822,378,822,405,795,405
336,431,409,431,409,460,336,460
413,429,464,429,464,460,413,460
468,431,519,431,519,460,468,460
551,433,637,433,637,460,551,460
659,435,746,435,746,464,659,464
767,439,854,439,854,466,767,466
336,468,411,468,411,498,336,498
413,466,464,466,464,498,413,498
468,468,519,468,519,498,468,498
551,470,637,470,637,498,551,498
659,474,746,474,746,502,659,502
767,476,854,476,854,504,767,504
336,505,411,505,411,537,336,537
413,504,466,504,466,537,413,537
468,505,519,505,519,535,468,535
551,507,637,507,637,535,551,535
659,511,746,511,746,539,659,539
767,513,854,513,854,543,767,543
336,543,409,543,409,574,336,574
468,543,519,543,519,574,468,574
413,543,464,543,464,574,413,574
551,547,637,547,637,574,551,574
659,549,746,549,746,578,659,578
767,553,854,553,854,580,767,580
55,663,192,663,192,700,55,700
385,669,415,669,415,696,385,696
37,722,165,722,165,754,37,754
167,724,218,724,218,754,167,754
248,726,334,726,334,754,248,754
358,728,444,728,444,756,358,756
468,732,555,732,555,759,468,759
37,761,110,761,110,791,37,791
114,761,165,761,165,791,114,791
167,761,218,761,218,791,167,791
248,763,334,763,334,791,248,791
358,765,444,765,444,795,358,795
468,769,555,769,555,797,468,797
37,799,110,799,110,828,37,828
114,799,165,799,165,828,114,828
169,799,218,799,218,828,169,828
248,801,334,801,334,828,248,828
358,805,444,805,444,832,358,832
468,807,555,807,555,836,468,836
167,836,218,836,218,868,167,868
37,838,110,838,110,868,37,868
114,838,165,838,165,866,114,866
248,838,335,840,334,869,247,867
358,842,444,842,444,870,358,870
468,846,555,846,555,874,468,874
708,889,844,889,844,919,708,919
59,939,167,939,167,978,59,978
35,996,171,996,171,1027,35,1027
194,998,279,998,279,1025,194,1025
316,998,450,998,450,1027,316,1027
470,998,557,998,557,1027,470,1027
598,998,734,998,734,1027,598,1027
759,998,844,998,844,1027,759,1027
35,1035,139,1035,139,1065,35,1065
315,1033,391,1033,391,1065,315,1065
393,1035,421,1035,421,1065,393,1065
598,1035,675,1035,675,1065,598,1065
677,1035,702,1035,702,1065,677,1065
194,1037,281,1037,281,1065,194,1065
470,1037,557,1037,557,1065,470,1065
757,1037,844,1037,844,1065,757,1065
41,1175,198,1175,198,1220,41,1220
212,1175,291,1175,291,1220,212,1220
600,1177,850,1177,850,1218,600,1218
484,1181,594,1181,594,1216,484,1216
