ingre_no,ingre_name,ingre_en_name,ingre_allergy
240,마늘,NULL,0
241,마늘종,NULL,0
242,마른고추,NULL,0
243,마른새우,NULL,1
244,마른오징어,NULL,1
245,마요네스,NULL,0
246,마요네즈,NULL,0
247,막걸리,NULL,0
248,만두피,NULL,0
249,"말린 표고버섯",NULL,0
250,말린새우,NULL,1
251,말린표고버섯,NULL,0
252,맛간장,NULL,0
253,맛국물,NULL,0
254,맛살,NULL,0
255,맛살조개,NULL,1
256,맛소금,NULL,0
257,맛술,NULL,0
258,맛조개,NULL,1
259,망고,NULL,0
260,매실,NULL,0
261,매실액,NULL,0
262,매실장아찌,NULL,0
263,매실청,NULL,0
264,머스타드,NULL,0
265,머스터드,NULL,0
266,머위대,NULL,0
267,메기,NULL,0
268,메밀국수,NULL,1
269,메주,NULL,0
270,메주콩,NULL,0
271,메추리알,NULL,0
272,멜론,NULL,0
273,멥쌀,NULL,0
274,멥쌀가루,NULL,0
275,멥쌀떡,NULL,0
276,면,NULL,0
277,멸치,NULL,0
278,멸치가루,NULL,0
279,멸치다시물,NULL,0
280,멸치액젓,NULL,0
281,멸치육수,NULL,0
282,멸치젓,NULL,0
283,멸칫국물,NULL,0
284,명란,NULL,0
285,명란젓,NULL,0
286,명태,NULL,0
287,모닝빵,NULL,0
288,모듬채소,NULL,0
289,모시조개,NULL,1
290,모짜렐라치즈,NULL,0
291,목이버섯,NULL,0
292,무,NULL,0
293,"무,래디쉬",NULL,0
294,무국물,NULL,0
295,무말랭이,NULL,0
296,무명실,NULL,0
297,무순,NULL,0
298,무즙,NULL,0
299,무지개고추,NULL,0
300,무채,NULL,0
301,문어,NULL,0
302,물,NULL,0
303,물엿,NULL,0
304,미나리,NULL,0
305,미니새송이버섯,NULL,0
306,미니파프리카,NULL,0
307,미더덕,NULL,0
308,미림,NULL,0
309,미소,NULL,0
310,미소된장,NULL,0
311,미역,NULL,0
312,미원,NULL,0
313,밀,NULL,1
314,밀가루,NULL,1
315,밀국수,NULL,1
316,바게트,NULL,0
317,바나나,NULL,0
318,바베큐소스,NULL,0
319,"바비큐 소스",NULL,0
320,바지락,NULL,0
321,바질,NULL,0
322,박고지,NULL,0
323,발효초,NULL,0
324,밤,NULL,0
325,밥,NULL,0
326,방울토마토,NULL,1
327,방풍나물,NULL,0
328,배,NULL,0
329,배주머니,NULL,0
330,배즙,NULL,0
331,배추,NULL,0
332,배추김치,NULL,0
333,배추잎,NULL,0
334,배춧잎,NULL,0
335,백오이,NULL,0
336,뱅어포,NULL,0
337,버섯,NULL,0
338,버터,NULL,0
339,베이컨,NULL,0
340,보리,NULL,0
341,복숭아,NULL,1
342,복어,NULL,0
343,"볶은 흑임자(검은깨)",NULL,0
344,볶은소금,NULL,0
345,봄동,NULL,0
346,부추,NULL,0
347,부침가루,NULL,0
348,부침유,NULL,0
349,북어,NULL,0
350,"불린 멥쌀",NULL,0
351,"불린 쌀",NULL,0
352,"불린 찹쌀",NULL,0
353,"불린 흑미",NULL,0
354,불린미역,NULL,0
355,불린쌀,NULL,0
356,"붉은 고추",NULL,0
357,붉은갓,NULL,0
358,브로콜리,NULL,0
359,블랙올리브,NULL,0
360,블루베리,NULL,0
361,비엔나소시지,NULL,0
362,비트,NULL,0
363,빵가루,NULL,0
364,사골,NULL,0
365,사과,NULL,0
366,사과식초,NULL,0
367,사과즙,NULL,0
368,사라다나,NULL,0
369,사우어크라우트,NULL,0
370,사워크림,NULL,0
371,사이다,NULL,0
372,삭힌고추,NULL,0
373,산낙지,NULL,0
374,산초가루,NULL,0
375,"삶은 문어살",NULL,0
376,삶은계란,NULL,1
377,삶은팥,NULL,0
378,삼치,NULL,0
379,상추,NULL,0
380,상추잎,NULL,0
381,새송이버섯,NULL,0
382,새싹채소,NULL,0
383,새우,NULL,1
384,새우살,NULL,1
385,새우젓,NULL,1
386,새우젓국,NULL,1
387,샐러드오일,NULL,0
388,샐러드채소,NULL,0
389,샐러리,NULL,0
390,생강,NULL,0
391,생강가루,NULL,0
392,생강즙,NULL,0
393,생굴,NULL,0
394,생대구,NULL,0
395,생밤,NULL,0
396,생새우,NULL,1
397,생선살,NULL,0
398,생수,NULL,0
399,생크림,NULL,0
400,생태,NULL,0
401,서리태콩,NULL,0
402,석이버섯,NULL,0
403,선지,NULL,0
404,설탕,NULL,0
405,셀러리,NULL,0
406,"소 잡뼈",NULL,0
407,소고기,NULL,1
408,소금,NULL,0
409,소급,NULL,0
410,소꼬리,NULL,0
411,소라,NULL,0
412,소면,NULL,0
413,소스,NULL,0
414,소시지,NULL,0
415,소주,NULL,0
416,솔잎,NULL,0
417,송어,NULL,0
418,송이버섯,NULL,0
419,쇠고기,NULL,1
420,쇠고기스톡,NULL,1
421,쇠고기육수,NULL,1
422,쇠꼬리,NULL,0
423,쇠뼈,NULL,0
424,수박,NULL,0
425,수삼,NULL,0
426,수수,NULL,0
427,숙주,NULL,0
428,숙주나물,NULL,0
429,순대,NULL,0
430,순두부,NULL,0
431,순창콩된장,NULL,0
432,술,NULL,0
433,숯,NULL,0
434,슈가파우더,NULL,0
435,스위트마조람,NULL,0
436,스위트콘,NULL,0
437,스파게티,NULL,0
438,스파게티면,NULL,0
439,슬라이스치즈,NULL,0
440,슬라이스햄,NULL,0
441,시금치,NULL,0
442,시금치나물,NULL,0
443,시금치즙,NULL,0
444,시래기,NULL,0
445,시럽,NULL,0
446,시리얼,NULL,0
447,식물성기름,NULL,0
448,식빵,NULL,0
449,식용유,NULL,0
450,식용유/소금/참기름/잣가루,NULL,0
451,식초,NULL,0
452,신김치,NULL,0
453,실고추,NULL,0
454,실파,NULL,0
455,싸리버섯,NULL,0
456,쌀,NULL,0
457,쌀가루,NULL,0
458,쌀겨기름(미강유),NULL,0
459,쌀국수,NULL,0
460,쌀뜨물,NULL,0
461,쌈다시마,NULL,0
462,쌈장,NULL,0
463,쑥,NULL,0
464,쑥갓,NULL,0
465,아가용치즈,NULL,0
466,아구,NULL,0
467,아귀,NULL,0
468,아기된장소스,NULL,0
469,아몬드,NULL,0
470,아몬드가루,NULL,0
471,아보카도,NULL,0
472,아스파라거스,NULL,0
473,아욱,NULL,0
474,안심,NULL,0
475,애호박,NULL,0
476,액젓,NULL,0
477,액체육젓,NULL,0
478,앤다이브,NULL,0
479,양,NULL,0
480,양겨자,NULL,0
481,양념,NULL,0
482,양념간장,NULL,0
483,양념장,NULL,0
484,양배추,NULL,0
485,양배추잎,NULL,0
486,양상추,NULL,0
487,양송이,NULL,0
488,양송이버섯,NULL,0
489,양지국물,NULL,0
490,양지머리,NULL,0
491,양파,NULL,0
492,양파즙,NULL,0
493,어린잎채소,NULL,0
494,어묵,NULL,0
495,얼갈이배추,NULL,0
496,얼음,NULL,0
497,얼음물,NULL,0
498,"에멘탈 치즈가루",NULL,0
499,연겨자,NULL,0
500,연근,NULL,0
501,연어,NULL,0
502,연어살,NULL,0
503,연어알,NULL,0
504,열무,NULL,0
505,열무김치,NULL,0
506,엿기름,NULL,0
507,영양부추,NULL,0
508,오곡곡물,NULL,0
509,오레가노,NULL,0
510,오렌지,NULL,0
511,오렌지마멀레이드,NULL,0
512,오렌지마요네즈,NULL,0
513,오리고기,NULL,0
514,오보로,NULL,0
